Scan do Pawn: 0x16719AAB0 em 2025-05-30 16:25:40

Offset	Tipo	Valor
0x0B60	Float	4.1324291712938855e-42
0x0B60	Byte	133
0x0B68	Ptr	0x1BB14D600
0x0B68	Float	-0.0022710561752319336
0x0B68	Byte	0
0x0B70	Ptr	0x1201B0EB0
0x0B70	Float	1.3133870368540404e-19
0x0B70	Byte	176
0x0B78	Ptr	0x400000001
0x0B78	Int32	1
0x0B78	Float	1.401298464324817e-45
0x0B78	Byte	1
0x0B80	Int32	257
0x0B80	Float	3.60133705331478e-43
0x0B80	Byte	1
0x0B88	Ptr	0x3CC5D940
0x0B88	Float	0.02415144443511963
0x0B88	Byte	64
0x0B90	Int32	0
0x0B90	Float	0.0
0x0B90	Byte	0
0x0B98	Float	1.0
0x0B98	Byte	0
0x0BA0	Int32	2
0x0BA0	Float	2.802596928649634e-45
0x0BA0	Byte	2
0x0BA8	Ptr	0x1CFD4D740
0x0BA8	Byte	64
0x0BB0	Ptr	0x16AA7D000
0x0BB0	Byte	0
0x0BB8	Ptr	0x12BB45E00
0x0BB8	Float	1.2815859484760495e-12
0x0BB8	Byte	0
0x0BC0	Ptr	0x1C0D70800
0x0BC0	Float	-6.7197265625
0x0BC0	Byte	0
0x0BC8	Ptr	0x1BFF0E7A0
0x0BC8	Float	-1.8820686340332031
0x0BC8	Byte	160
0x0BD0	Ptr	0x300000003
0x0BD0	Int32	3
0x0BD0	Float	4.203895392974451e-45
0x0BD0	Byte	3
0x0BD8	Int32	7
0x0BD8	Float	9.80908925027372e-45
0x0BD8	Byte	7
0x0BE0	Int32	0
0x0BE0	Float	0.0
0x0BE0	Byte	0
0x0BE8	Int32	0
0x0BE8	Float	0.0
0x0BE8	Byte	0
0x0BF0	Ptr	0x8000000003
0x0BF0	Int32	3
0x0BF0	Float	4.203895392974451e-45
0x0BF0	Byte	3
0x0BF8	Ptr	0xFFFFFFFF
0x0BF8	Int32	-1
0x0BF8	Byte	255
0x0C00	Int32	2
0x0C00	Float	2.802596928649634e-45
0x0C00	Byte	2
0x0C08	Int32	0
0x0C08	Float	0.0
0x0C08	Byte	0
0x0C10	Int32	1
0x0C10	Float	1.401298464324817e-45
0x0C10	Byte	1
0x0C18	Int32	0
0x0C18	Float	0.0
0x0C18	Byte	0
0x0C20	Ptr	0x752B2A40
0x0C20	Byte	64
0x0C28	Int32	0
0x0C28	Float	0.0
0x0C28	Byte	0
0x0C30	Int32	0
0x0C30	Float	0.0
0x0C30	Byte	0
0x0C38	Int32	0
0x0C38	Float	0.0
0x0C38	Byte	0
0x0C40	Int32	0
0x0C40	Float	0.0
0x0C40	Byte	0
0x0C48	Int32	0
0x0C48	Float	0.0
0x0C48	Byte	0
0x0C50	Int32	0
0x0C50	Float	0.0
0x0C50	Byte	0
0x0C58	Int32	0
0x0C58	Float	0.0
0x0C58	Byte	0
0x0C60	Int32	0
0x0C60	Float	0.0
0x0C60	Byte	0
0x0C68	Int32	0
0x0C68	Float	0.0
0x0C68	Byte	0
0x0C70	Int32	-1
0x0C70	Byte	255
0x0C78	Int32	0
0x0C78	Float	0.0
0x0C78	Byte	0
0x0C80	Ptr	0x1C3ABC920
0x0C80	Float	-343.5712890625
0x0C80	Byte	32
0x0C88	Ptr	0x100000000B
0x0C88	Int32	11
0x0C88	Float	1.5414283107572988e-44
0x0C88	Byte	11
0x0C90	Ptr	0x1B1C936E0
0x0C90	Float	-5.856108487023448e-09
0x0C90	Byte	224
0x0C98	Ptr	0x100000000A
0x0C98	Int32	10
0x0C98	Float	1.401298464324817e-44
0x0C98	Byte	10
0x0CA0	Int32	0
0x0CA0	Float	0.0
0x0CA0	Byte	0
0x0CA8	Int32	0
0x0CA8	Float	0.0
0x0CA8	Byte	0
0x0CB0	Int32	0
0x0CB0	Float	0.0
0x0CB0	Byte	0
0x0CB8	Int32	0
0x0CB8	Float	0.0
0x0CB8	Byte	0
0x0CC0	Float	224.8922119140625
0x0CC0	Byte	104
0x0CC8	Int32	0
0x0CC8	Float	0.0
0x0CC8	Byte	0
0x0CD0	Ptr	0x43480000
0x0CD0	Float	200.0
0x0CD0	Byte	0
0x0CD8	Int32	0
0x0CD8	Float	0.0
0x0CD8	Byte	0
0x0CE0	Int32	0
0x0CE0	Float	0.0
0x0CE0	Byte	0
0x0CE8	Ptr	0xB699D8D0
0x0CE8	Float	-4.584995622280985e-06
0x0CE8	Byte	208
0x0CF0	Ptr	0x1800000018
0x0CF0	Int32	24
0x0CF0	Float	3.363116314379561e-44
0x0CF0	Byte	24
0x0CF8	Int32	257
0x0CF8	Float	3.60133705331478e-43
0x0CF8	Byte	1
0x0D00	Int32	0
0x0D00	Float	0.0
0x0D00	Byte	0
0x0D08	Int32	0
0x0D08	Float	0.0
0x0D08	Byte	0
0x0D10	Int32	0
0x0D10	Float	0.0
0x0D10	Byte	0
0x0D18	Int32	0
0x0D18	Float	0.0
0x0D18	Byte	0
0x0D20	Ptr	0x20000000000
0x0D20	Int32	0
0x0D20	Float	0.0
0x0D20	Byte	0
0x0D28	Int32	9
0x0D28	Float	1.2611686178923354e-44
0x0D28	Byte	9
0x0D30	Int32	0
0x0D30	Float	0.0
0x0D30	Byte	0
0x0D38	Int32	0
0x0D38	Float	0.0
0x0D38	Byte	0
0x0D40	Ptr	0xC0000000F
0x0D40	Int32	15
0x0D40	Float	2.1019476964872256e-44
0x0D40	Byte	15
0x0D48	Int32	224
0x0D48	Float	3.1389085600875902e-43
0x0D48	Byte	224
0x0D50	Float	-0.14837646484375
0x0D50	Byte	0
0x0D58	Ptr	0xC38BE2F7
0x0D58	Float	-279.7731628417969
0x0D58	Byte	247
0x0D60	Int32	0
0x0D60	Float	0.0
0x0D60	Byte	0
0x0D68	Int32	0
0x0D68	Float	0.0
0x0D68	Byte	0
0x0D70	Int32	0
0x0D70	Float	0.0
0x0D70	Byte	0
0x0D78	Int32	0
0x0D78	Float	0.0
0x0D78	Byte	0
0x0D80	Int32	0
0x0D80	Float	0.0
0x0D80	Byte	0
0x0D88	Int32	0
0x0D88	Float	0.0
0x0D88	Byte	0
0x0D90	Int32	0
0x0D90	Float	0.0
0x0D90	Byte	0
0x0D98	Int32	0
0x0D98	Float	0.0
0x0D98	Byte	0
0x0DA0	Int32	0
0x0DA0	Float	0.0
0x0DA0	Byte	0
0x0DA8	Int32	0
0x0DA8	Float	0.0
0x0DA8	Byte	0
0x0DB0	Float	180.0
0x0DB0	Byte	0
0x0DB8	Ptr	0x13F800000
0x0DB8	Float	1.0
0x0DB8	Byte	0
0x0DC0	Int32	0
0x0DC0	Float	0.0
0x0DC0	Byte	0
0x0DC8	Int32	0
0x0DC8	Float	0.0
0x0DC8	Byte	0
0x0DD0	Int32	0
0x0DD0	Float	0.0
0x0DD0	Byte	0
0x0DD8	Int32	0
0x0DD8	Float	0.0
0x0DD8	Byte	0
0x0DE0	Int32	0
0x0DE0	Float	0.0
0x0DE0	Byte	0
0x0DE8	Int32	0
0x0DE8	Float	0.0
0x0DE8	Byte	0
0x0DF0	Ptr	0x447A0000
0x0DF0	Float	1000.0
0x0DF0	Byte	0
0x0DF8	Int32	0
0x0DF8	Float	0.0
0x0DF8	Byte	0
0x0E00	Ptr	0x3F800000
0x0E00	Float	1.0
0x0E00	Byte	0
0x0E08	Int32	0
0x0E08	Float	0.0
0x0E08	Byte	0
0x0E10	Int32	0
0x0E10	Float	0.0
0x0E10	Byte	0
0x0E18	Int32	0
0x0E18	Float	0.0
0x0E18	Byte	0
0x0E20	Float	1.0
0x0E20	Byte	0
0x0E28	Float	1.0
0x0E28	Byte	0
0x0E30	Int32	1
0x0E30	Float	1.401298464324817e-45
0x0E30	Byte	1
0x0E38	Float	25.0
0x0E38	Byte	0
0x0E40	Float	1.0
0x0E40	Byte	0
0x0E48	Float	30.0
0x0E48	Byte	0
0x0E50	Float	1.5
0x0E50	Byte	0
0x0E58	Ptr	0x3DCCCCCD
0x0E58	Float	0.10000000149011612
0x0E58	Byte	205
0x0E60	Float	800.0
0x0E60	Byte	0
0x0E68	Float	3.0
0x0E68	Byte	0
0x0E70	Float	8.0
0x0E70	Byte	0
0x0E78	Float	0.05000000074505806
0x0E78	Byte	205
0x0E80	Float	4.0
0x0E80	Byte	0
0x0E88	Float	200.0
0x0E88	Byte	0
0x0E90	Ptr	0x101000000
0x0E90	Float	2.350988701644575e-38
0x0E90	Byte	0
0x0E98	Int32	0
0x0E98	Float	0.0
0x0E98	Byte	0
0x0EA0	Ptr	0x1BBEC3800
0x0EA0	Float	-0.007208824157714844
0x0EA0	Byte	0
0x0EA8	Ptr	0x500000005
0x0EA8	Int32	5
0x0EA8	Float	7.006492321624085e-45
0x0EA8	Byte	5
0x0EB0	Int32	31
0x0EB0	Float	4.344025239406933e-44
0x0EB0	Byte	31
0x0EB8	Int32	0
0x0EB8	Float	0.0
0x0EB8	Byte	0
0x0EC0	Int32	0
0x0EC0	Float	0.0
0x0EC0	Byte	0
0x0EC8	Ptr	0x8000000005
0x0EC8	Int32	5
0x0EC8	Float	7.006492321624085e-45
0x0EC8	Byte	5
0x0ED0	Ptr	0xFFFFFFFF
0x0ED0	Int32	-1
0x0ED0	Byte	255
0x0ED8	Int32	0
0x0ED8	Float	0.0
0x0ED8	Byte	0
0x0EE0	Ptr	0x1C2C96F40
0x0EE0	Float	-100.71728515625
0x0EE0	Byte	64
0x0EE8	Int32	16
0x0EE8	Float	2.2420775429197073e-44
0x0EE8	Byte	16
0x0EF0	Int32	0
0x0EF0	Float	0.0
0x0EF0	Byte	0
0x0EF8	Int32	364
0x0EF8	Float	5.100726410142334e-43
0x0EF8	Byte	108
0x0F00	Int32	1224
0x0F00	Float	1.715189320333576e-42
0x0F00	Byte	200
0x0F08	Float	253.0
0x0F08	Byte	0
0x0F10	Int32	0
0x0F10	Float	0.0
0x0F10	Byte	0
0x0F18	Float	0.30000001192092896
0x0F18	Byte	154
0x0F20	Float	0.05000000074505806
0x0F20	Byte	205
0x0F28	Int32	0
0x0F28	Float	0.0
0x0F28	Byte	0
0x0F30	Ptr	0x120C45FB0
0x0F30	Float	3.3267012208259508e-19
0x0F30	Byte	176
0x0F38	Int32	0
0x0F38	Float	0.0
0x0F38	Byte	0
0x0F40	Int32	0
0x0F40	Float	0.0
0x0F40	Byte	0
0x0F48	Ptr	0xCD66C180
0x0F48	Byte	128
0x0F50	Ptr	0x3F800000
0x0F50	Float	1.0
0x0F50	Byte	0
0x0F58	Int32	0
0x0F58	Float	0.0
0x0F58	Byte	0
0x0F60	Ptr	0x1B0355600
0x0F60	Float	-6.596962975891074e-10
0x0F60	Byte	0
0x0F68	Int32	0
0x0F68	Float	0.0
0x0F68	Byte	0
0x0F70	Int32	0
0x0F70	Float	0.0
0x0F70	Byte	0
0x0F78	Ptr	0x15DB9C900
0x0F78	Byte	0
0x0F80	Int32	0
0x0F80	Float	0.0
0x0F80	Byte	0
0x0F88	Int32	0
0x0F88	Float	0.0
0x0F88	Byte	0
0x0F90	Int32	0
0x0F90	Float	0.0
0x0F90	Byte	0
0x0F98	Int32	0
0x0F98	Float	0.0
0x0F98	Byte	0
0x0FA0	Int32	0
0x0FA0	Float	0.0
0x0FA0	Byte	0
0x0FA8	Int32	0
0x0FA8	Float	0.0
0x0FA8	Byte	0
0x0FB0	Int32	0
0x0FB0	Float	0.0
0x0FB0	Byte	0
0x0FB8	Int32	0
0x0FB8	Float	0.0
0x0FB8	Byte	0
0x0FC0	Int32	0
0x0FC0	Float	0.0
0x0FC0	Byte	0
0x0FC8	Int32	0
0x0FC8	Float	0.0
0x0FC8	Byte	0
0x0FD0	Int32	0
0x0FD0	Float	0.0
0x0FD0	Byte	0
0x0FD8	Int32	0
0x0FD8	Float	0.0
0x0FD8	Byte	0
0x0FE0	Int32	0
0x0FE0	Float	0.0
0x0FE0	Byte	0
0x0FE8	Ptr	0x84584E00
0x0FE8	Float	-2.5426493821263027e-36
0x0FE8	Byte	0
0x0FF0	Ptr	0x84584E00
0x0FF0	Float	-2.5426493821263027e-36
0x0FF0	Byte	0
0x0FF8	Int32	0
0x0FF8	Float	0.0
0x0FF8	Byte	0
