Scan do Pawn: 0x16719AAB0 em 2025-05-30 16:25:40

Offset	Tipo	Valor
0x0288	Float	0.0
0x0288	Byte	0
0x0290	Ptr	0x164EB8650
0x0290	Byte	80
0x0298	Ptr	0x1600000003
0x0298	Int32	3
0x0298	Float	4.203895392974451e-45
0x0298	Byte	3
0x02A0	Ptr	0x542BF6C0
0x02A0	Byte	192
0x02A8	Ptr	0x148438788
0x02A8	Float	200222.125
0x02A8	Byte	136
0x02B0	Int32	80
0x02B0	Float	1.1210387714598537e-43
0x02B0	Byte	80
0x02B8	Int32	256
0x02B8	Float	3.587324068671532e-43
0x02B8	Byte	0
0x02C0	Ptr	0x7FFFDE162000
0x02C0	Byte	0
0x02C8	Ptr	0x1071EDFF0
0x02C8	Float	1.1952408192061788e-34
0x02C8	Byte	240
0x02D0	Int32	0
0x02D0	Float	0.0
0x02D0	Byte	0
0x02D8	Ptr	0x2073D9C0
0x02D8	Float	2.0654948049632867e-19
0x02D8	Byte	192
0x02E0	Ptr	0x2073D9C0
0x02E0	Float	2.0654948049632867e-19
0x02E0	Byte	192
0x02E8	Ptr	0x412FD70A
0x02E8	Float	10.989999771118164
0x02E8	Byte	10
0x02F0	Int32	0
0x02F0	Float	0.0
0x02F0	Byte	0
0x02F8	Int32	0
0x02F8	Float	0.0
0x02F8	Byte	0
0x0300	Int32	0
0x0300	Float	0.0
0x0300	Byte	0
0x0308	Int32	0
0x0308	Float	0.0
0x0308	Byte	0
0x0310	Int32	0
0x0310	Float	0.0
0x0310	Byte	0
0x0318	Int32	0
0x0318	Float	0.0
0x0318	Byte	0
0x0320	Int32	0
0x0320	Float	0.0
0x0320	Byte	0
0x0328	Ptr	0x101D620E0
0x0328	Float	7.865835802274351e-38
0x0328	Byte	224
0x0330	Ptr	0x155EE6670
0x0330	Byte	112
0x0338	Ptr	0x68331630
0x0338	Byte	48
0x0340	Int32	196613
0x0340	Float	2.7551349496629526e-40
0x0340	Byte	5
0x0348	Int32	0
0x0348	Float	0.0
0x0348	Byte	0
0x0350	Ptr	0x138273C10
0x0350	Float	3.987184027209878e-05
0x0350	Byte	16
0x0358	Byte	16
0x0360	Byte	248
0x0368	Float	4.5987519348145156e-14
0x0368	Byte	0
0x0370	Int32	0
0x0370	Float	0.0
0x0370	Byte	0
