=== SCAN ESTENDIDO DE ISGHOST NO PAWN: 0x37CF2230 ===
Data/Hora: 2025-05-30 17:34:40
Offset atual de isGhost: 0x688

Valor atual de isGhost: False

=== ESCANEANDO POSSÍVEIS VALORES BOOLEANOS ===
Offset	Byte	Bool	Int8	Int16	Int32
0x0676	0	False	0	0	-1987772416
0x0677	0	False	0	-31488	-762739456
0x067C	0	False	0	0	0
0x067D	0	False	0	0	0
0x067E	0	False	0	0	0
0x067F	0	False	0	0	-939524096
0x0680	0	False	0	0	1137180672
0x0681	0	False	0	-14336	4442112
0x0684	0	False	0	0	1120403456
0x0685	0	False	0	-14336	4376576
0x0688	0	False	0	0	0
0x0689	0	False	0	0	0
0x068A	0	False	0	0	0
0x068B	0	False	0	0	0
0x068C	0	False	0	0	0
0x068D	0	False	0	0	0
0x068E	0	False	0	0	0
0x068F	0	False	0	0	0
0x0690	0	False	0	0	0
0x0691	0	False	0	0	0
0x0692	0	False	0	0	0
0x0693	0	False	0	0	0
0x0694	0	False	0	0	0
0x0695	0	False	0	0	0
0x0696	0	False	0	0	0
0x0697	0	False	0	0	0
0x0698	0	False	0	0	0
0x0699	0	False	0	0	0
0x069A	0	False	0	0	0
0x069B	0	False	0	0	0
0x069C	0	False	0	0	0
0x069D	0	False	0	0	0
0x069E	0	False	0	0	0
0x069F	0	False	0	0	0
0x06A0	0	False	0	0	0
0x06A1	0	False	0	0	0
0x06A2	0	False	0	0	0
0x06A3	0	False	0	0	0
0x06A4	0	False	0	0	0
0x06A5	0	False	0	0	0
0x06A6	0	False	0	0	0
0x06A7	0	False	0	0	0
0x06A8	0	False	0	0	0
0x06A9	0	False	0	0	1275068416
0x06AA	0	False	0	0	-78905344
0x06AB	0	False	0	19456	16468992
0x06AE	0	False	0	0	0
0x06AF	0	False	0	0	0
0x06B0	0	False	0	0	0
0x06B1	0	False	0	0	0
0x06B2	0	False	0	0	0
0x06B3	0	False	0	0	16777216
0x06B4	0	False	0	0	65536
0x06B5	0	False	0	256	256
0x06B6	1	True	1	1	1
0x06B7	0	False	0	0	0
0x06B8	0	False	0	0	0
0x06B9	0	False	0	0	0
0x06BA	0	False	0	0	0
0x06BB	0	False	0	0	0
0x06BC	0	False	0	0	0
0x06BD	0	False	0	0	0
0x06BE	0	False	0	0	16777216
0x06BF	0	False	0	0	65536
0x06C0	0	False	0	256	256
0x06C1	1	True	1	1	1
0x06C2	0	False	0	0	0
0x06C3	0	False	0	0	0
0x06C4	0	False	0	0	0
0x06C5	0	False	0	0	0
0x06C6	0	False	0	0	0
0x06C7	0	False	0	0	0
0x06C8	0	False	0	0	0
0x06C9	0	False	0	0	0
0x06CA	0	False	0	0	0
0x06CB	0	False	0	0	0
